idx,created_date,updated_date,name_ko,name_en,summary,thumbnail,user_grade
18,,,코스타리카 따라주 SHB 워시드 (중배전),코스타리카 따라주 SHB 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
19,,,르완다 부산제 SPECIALTY 워시드 (중배전),르완다 부산제 SPECIALTY 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
20,,,브라질 카르모 데 미나스 - 워시드 디카페인 (중배전),브라질 카르모 데 미나스 - 워시드 디카페인 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
21,,,엘살바도르 산타아 MICRO LOT 워시드 (중배전),엘살바도르 산타아 MICRO LOT 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
22,,,인도네시아 수마트라 G1 웻헐드 (중배전),인도네시아 수마트라 G1 웻헐드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
23,,,베트남 베트남 G1 워시드 (중배전),베트남 베트남 G1 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
24,,,에티오피아 시다모 G2 워시드 (중배전),에티오피아 시다모 G2 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
25,,,인도 치크마갈루르 AA 워시드 (중배전),인도 치크마갈루르 AA 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
26,,,에티오피아 시다모 G2 워시드 디카페인 (중배전),에티오피아 시다모 G2 워시드 디카페인 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
27,,,콜롬비아 콜롬비아 SUPREMO 워시드 디카페인 (강배전),콜롬비아 콜롬비아 SUPREMO 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
28,,,에티오피아 예가체프 G2 워시드 (약배전),에티오피아 예가체프 G2 워시드 (약배전),아이템 요약 영역 입니다!!!,default_bean.png,0
29,,,브라질 세하도 NY2 FC 네추럴 (중배전),브라질 세하도 NY2 FC 네추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
30,,,과테말라 안티구아 SHB 워시드 (중배전),과테말라 안티구아 SHB 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
31,,,콜롬비아 후일라 SUPREMO 워시드 (중배전),콜롬비아 후일라 SUPREMO 워시드 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
32,,,베트남 다낭 G1 폴리싱 (강배전),베트남 다낭 G1 폴리싱 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
33,,,브라질 산토스 NY2 FC 내추럴 (중배전),브라질 산토스 NY2 FC 내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
34,,,에티오피아 시다모 G4 내추럴 (중배전),에티오피아 시다모 G4 내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
35,,,에티오피아 예가체프 G4 내추럴 (중배전),에티오피아 예가체프 G4 내추럴 (중배전),아이템 요약 영역 입니다!!!,default_bean.png,0
36,,,탄자니아 음빙가 AA 워시드 (강배전),탄자니아 음빙가 AA 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
37,,,콜롬비아 메데인 SUPREMO 워시드 (강배전),콜롬비아 메데인 SUPREMO 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
38,,,코스타리카 따라주 SHB 워시드 (강배전),코스타리카 따라주 SHB 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
39,,,파푸아뉴기니 와기벨리 AA 워시드 (강배전),파푸아뉴기니 와기벨리 AA 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
40,,,인도네시아 만델링 G1 워시드 (강배전),인도네시아 만델링 G1 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
41,,,온두라스 산티아고 푸링글라 SHB 워시드 (강배전),온두라스 산티아고 푸링글라 SHB 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
42,,,엘 살바도르 엘 살바도르 SHG 워시드 (강배전),엘 살바도르 엘 살바도르 SHG 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
43,,,케냐 키암부 AA 워시드 (강배전),케냐 키암부 AA 워시드 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
44,,,콜롬비아 메데인 SUPREMO 워시드 디카페인 (강배전),콜롬비아 메데인 SUPREMO 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
45,,,과테말라 안티구아 SHB 워시드 디카페인 (강배전),과테말라 안티구아 SHB 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
46,,,에티오피아 예가체프 G2 워시드 디카페인 (강배전),에티오피아 예가체프 G2 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
47,,,브라질 산토스 NY2 FC 워시드 디카페인 (강배전),브라질 산토스 NY2 FC 워시드 디카페인 (강배전),아이템 요약 영역 입니다!!!,default_bean.png,0
