idx,created_date,updated_date,acidity,bitterness,body,coffeeing_note,expired,flavor,param1,param2,param3,param4,param5,param6,param7,param8,result_code,result_type,sweetness,member_idx
15,2023-03-01 22:04:48.000000,2023-03-01 22:04:48.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,2,3,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,15
16,2023-03-01 22:48:00.000000,2023-03-01 22:48:00.000000,3.3,5.7,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,7.1,1,4,1,1,1,3,4,1,15,향미에 가치를 두는 타입,2.4,16
17,2023-03-01 23:31:12.000000,2023-03-01 23:31:12.000000,3.2,3.3,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,7.4,2,2,1,1,3,2,4,4,13,향미에 가치를 두는 타입,4.7,17
18,2023-03-02 00:14:24.000000,2023-03-02 00:14:24.000000,5.4,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.3,1,3,2,2,1,2,4,1,52,풍부하고 진한 입감을 즐기는 타입,3.3,18
19,2023-03-02 00:57:36.000000,2023-03-02 00:57:36.000000,5.7,4.2,5.1,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,6.2,2,3,2,2,1,2,4,4,12,향미에 가치를 두는 타입,3.6,19
20,2023-03-02 01:40:48.000000,2023-03-02 01:40:48.000000,5.6,4.4,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.6,2,2,1,1,1,1,3,2,12,향미에 가치를 두는 타입,3.6,20
21,2023-03-02 02:24:00.000000,2023-03-02 02:24:00.000000,2.8,6.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,6.4,2,3,1,4,1,2,2,3,41,강하고 쓴 맛을 선호하는 타입,4.7,21
22,2023-03-02 03:07:12.000000,2023-03-02 03:07:12.000000,4.4,6.0,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 허브",N,7.9,2,3,1,1,1,1,3,3,14,향미에 가치를 두는 타입,3.6,22
23,2023-03-02 03:50:24.000000,2023-03-02 03:50:24.000000,5.3,3.9,6.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.7,2,5,2,5,1,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,3.8,23
24,2023-03-02 04:33:36.000000,2023-03-02 04:33:36.000000,6.1,5.6,4.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 레몬, 오렌지, 귤, 시트러스",N,6.4,1,2,1,4,1,1,4,2,12,향미에 가치를 두는 타입,3.3,24
25,2023-03-02 05:16:48.000000,2023-03-02 05:16:48.000000,2.6,5.7,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,6.7,1,2,1,4,1,2,2,4,14,향미에 가치를 두는 타입,4.6,25
26,2023-03-02 06:00:00.000000,2023-03-02 06:00:00.000000,3.8,6.1,4.7,"카라멜, 고소한, 풍부한, 과일, 풍부한, 사과, 배, 우디",N,5.7,1,3,1,4,1,1,1,1,41,강하고 쓴 맛을 선호하는 타입,3.3,26
27,2023-03-02 06:43:12.000000,2023-03-02 06:43:12.000000,2.8,2.6,5.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 플로럴",N,7.5,2,2,2,1,4,2,5,4,15,향미에 가치를 두는 타입,5.0,27
28,2023-03-02 07:26:24.000000,2023-03-02 07:26:24.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,1,3,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,28
29,2023-03-02 08:09:36.000000,2023-03-02 08:09:36.000000,2.8,4.7,8.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,5.1,1,2,2,5,1,2,5,1,51,풍부하고 진한 입감을 즐기는 타입,4.0,29
30,2023-03-02 08:52:48.000000,2023-03-02 08:52:48.000000,2.8,4.2,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,7.1,1,3,1,1,4,2,5,3,13,향미에 가치를 두는 타입,5.3,30
31,2023-03-02 09:36:00.000000,2023-03-02 09:36:00.000000,3.8,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.9,2,2,2,1,1,2,4,1,15,향미에 가치를 두는 타입,3.3,31
32,2023-03-02 10:19:12.000000,2023-03-02 10:19:12.000000,3.3,2.5,3.2,"카라멜, 고소한, 풍부한, 과일, 풍부한, 사과, 배, 플로럴",N,6.2,2,5,1,3,3,1,1,4,13,향미에 가치를 두는 타입,6.2,32
33,2023-03-02 11:02:24.000000,2023-03-02 11:02:24.000000,2.4,3.8,6.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 우디",N,6.4,1,4,1,1,4,2,5,1,15,향미에 가치를 두는 타입,4.9,33
34,2023-03-02 11:45:36.000000,2023-03-02 11:45:36.000000,5.1,6.2,5.3,"견과류, 고소한, 중후한, 과일, 풍부한, 레몬, 오렌지, 귤, 우디",N,5.4,2,3,4,4,1,1,4,1,41,강하고 쓴 맛을 선호하는 타입,3.1,34
35,2023-03-02 12:28:48.000000,2023-03-02 12:28:48.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,1,3,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,35
36,2023-03-02 13:12:00.000000,2023-03-02 13:12:00.000000,3.2,3.1,6.5,"견과류, 고소한, 중후한, 초코, 부드러운, 사과, 배, 허니",N,4.9,1,3,4,5,1,2,1,5,53,풍부하고 진한 입감을 즐기는 타입,5.6,36
37,2023-03-02 13:55:12.000000,2023-03-02 13:55:12.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,1,3,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,37
38,2023-03-02 14:38:24.000000,2023-03-02 14:38:24.000000,3.5,3.6,4.3,"과일, 초코, 균형있는, 초코, 부드러운, 체리, 복숭아, 플로럴",N,8.2,2,4,3,1,1,2,2,4,13,향미에 가치를 두는 타입,5.1,38
39,2023-03-02 15:21:36.000000,2023-03-02 15:21:36.000000,4.0,3.9,6.8,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 허니",N,6.0,2,3,2,2,1,3,5,5,51,풍부하고 진한 입감을 즐기는 타입,4.4,39
40,2023-03-02 16:04:48.000000,2023-03-02 16:04:48.000000,2.9,4.0,5.3,"견과류, 묵직한, 스모크, 견과류, 고소한, 사과, 배, 플로럴",N,7.9,1,4,2,1,1,3,1,4,15,향미에 가치를 두는 타입,2.9,40
41,2023-03-02 16:48:00.000000,2023-03-02 16:48:00.000000,4.0,3.8,4.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 허브",N,8.2,1,2,3,1,2,1,2,3,13,향미에 가치를 두는 타입,5.1,41
42,2023-03-02 17:31:12.000000,2023-03-02 17:31:12.000000,5.3,3.9,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,7.4,1,2,2,1,1,2,4,2,12,향미에 가치를 두는 타입,3.8,42
43,2023-03-02 18:14:24.000000,2023-03-02 18:14:24.000000,3.1,5.4,7.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,5.7,2,2,1,5,1,2,5,3,51,풍부하고 진한 입감을 즐기는 타입,4.6,43
44,2023-03-02 18:57:36.000000,2023-03-02 18:57:36.000000,4.0,3.9,6.8,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 허니",N,6.0,1,2,2,2,1,3,5,5,51,풍부하고 진한 입감을 즐기는 타입,4.4,44
45,2023-03-02 19:40:48.000000,2023-03-02 19:40:48.000000,4.7,3.1,5.6,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,6.8,1,3,2,1,2,2,4,2,15,향미에 가치를 두는 타입,4.2,45
46,2023-03-02 20:24:00.000000,2023-03-02 20:24:00.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,2,3,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,46
47,2023-03-02 21:07:12.000000,2023-03-02 21:07:12.000000,3.3,4.0,5.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.5,2,2,1,1,4,2,4,1,15,향미에 가치를 두는 타입,4.2,47
48,2023-03-02 21:50:24.000000,2023-03-02 21:50:24.000000,4.2,4.9,7.6,"견과류, 고소한, 중후한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,4.6,1,2,4,5,1,2,4,1,54,풍부하고 진한 입감을 즐기는 타입,3.6,48
49,2023-03-02 22:33:36.000000,2023-03-02 22:33:36.000000,3.2,3.3,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,7.4,2,5,1,1,3,2,4,4,13,향미에 가치를 두는 타입,4.7,49
50,2023-03-02 23:16:48.000000,2023-03-02 23:16:48.000000,3.9,3.6,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 시트러스",N,4.7,1,4,1,3,3,2,3,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.8,50
51,2023-03-03 00:00:00.000000,2023-03-03 00:00:00.000000,2.6,4.0,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,8.3,1,3,1,1,1,2,2,4,13,향미에 가치를 두는 타입,4.6,51
52,2023-03-03 00:43:12.000000,2023-03-03 00:43:12.000000,2.8,2.6,5.4,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 플로럴",N,7.5,2,2,2,1,4,2,5,4,15,향미에 가치를 두는 타입,5.0,52
53,2023-03-03 01:26:24.000000,2023-03-03 01:26:24.000000,2.8,5.3,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 허브",N,8.1,2,2,1,1,1,2,2,3,14,향미에 가치를 두는 타입,4.7,53
54,2023-03-03 02:09:36.000000,2023-03-03 02:09:36.000000,3.6,2.5,4.0,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 시트러스",N,4.9,1,3,1,3,3,2,1,2,31,달콤하고 즐거운 맛을 즐기는 타입,6.9,54
55,2023-03-03 02:52:48.000000,2023-03-03 02:52:48.000000,2.8,5.8,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 망고, 바나나, 파인애플, 허브",N,7.6,1,2,1,1,1,3,5,3,15,향미에 가치를 두는 타입,3.5,55
56,2023-03-03 03:36:00.000000,2023-03-03 03:36:00.000000,3.2,3.3,4.2,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 플로럴",N,7.4,2,2,1,1,3,2,4,4,13,향미에 가치를 두는 타입,4.7,56
57,2023-03-03 04:19:12.000000,2023-03-03 04:19:12.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,1,3,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,57
58,2023-03-03 05:02:24.000000,2023-03-03 05:02:24.000000,5.1,5.4,6.7,"견과류, 묵직한, 스모크, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,5.6,2,2,2,2,1,3,4,1,51,풍부하고 진한 입감을 즐기는 타입,2.2,58
59,2023-03-03 05:45:36.000000,2023-03-03 05:45:36.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,1,2,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,59
60,2023-03-03 06:28:48.000000,2023-03-03 06:28:48.000000,5.1,3.6,5.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 시트러스",N,6.2,2,2,1,3,1,1,5,2,13,향미에 가치를 두는 타입,5.7,60
61,2023-03-03 07:12:00.000000,2023-03-03 07:12:00.000000,2.4,4.9,6.9,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.7,1,4,1,5,1,2,2,1,51,풍부하고 진한 입감을 즐기는 타입,4.3,61
62,2023-03-03 07:55:12.000000,2023-03-03 07:55:12.000000,3.6,2.5,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 시트러스",N,5.1,1,4,2,3,3,2,5,2,35,달콤하고 즐거운 맛을 즐기는 타입,7.1,62
63,2023-03-03 08:38:24.000000,2023-03-03 08:38:24.000000,3.5,3.6,4.3,"과일, 초코, 균형있는, 초코, 부드러운, 체리, 복숭아, 플로럴",N,8.2,1,3,3,1,1,2,2,4,13,향미에 가치를 두는 타입,5.1,63
64,2023-03-03 09:21:36.000000,2023-03-03 09:21:36.000000,3.3,5.7,6.1,"카라멜, 고소한, 풍부한, 견과류, 고소한, 레몬, 오렌지, 귤, 우디",N,7.1,1,2,1,1,1,3,4,1,15,향미에 가치를 두는 타입,2.4,64
65,2023-03-03 10:04:48.000000,2023-03-03 10:04:48.000000,2.1,3.2,4.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 플로럴",N,7.8,2,4,1,1,2,2,2,4,13,향미에 가치를 두는 타입,5.0,65
66,2023-03-03 10:48:00.000000,2023-03-03 10:48:00.000000,3.6,6.9,5.7,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.1,1,4,1,4,1,2,4,1,45,강하고 쓴 맛을 선호하는 타입,3.5,66
67,2023-03-03 11:31:12.000000,2023-03-03 11:31:12.000000,2.8,6.2,6.0,"카라멜, 고소한, 풍부한, 견과류, 고소한, 베리, 커런트, 우디",N,6.7,2,2,1,1,1,3,3,1,14,향미에 가치를 두는 타입,2.6,67
68,2023-03-03 12:14:24.000000,2023-03-03 12:14:24.000000,5.7,3.6,5.1,"견과류, 고소한, 중후한, 초코, 부드러운, 레몬, 오렌지, 귤, 허니",N,5.1,2,3,4,2,1,2,4,5,21,상쾌하고 산미가 강조된 맛을 좋아하는 타입,5.1,68
69,2023-03-03 12:57:36.000000,2023-03-03 12:57:36.000000,3.6,2.5,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 망고, 바나나, 파인애플, 시트러스",N,5.1,2,5,2,3,3,2,5,2,35,달콤하고 즐거운 맛을 즐기는 타입,7.1,69
70,2023-03-03 13:40:48.000000,2023-03-03 13:40:48.000000,2.9,5.0,4.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 허브",N,8.2,1,3,2,1,1,2,2,3,14,향미에 가치를 두는 타입,4.6,70
71,2023-03-03 14:24:00.000000,2023-03-03 14:24:00.000000,4.2,7.1,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 허브",N,6.0,1,4,2,4,1,2,4,3,41,강하고 쓴 맛을 선호하는 타입,3.8,71
72,2023-03-03 15:07:12.000000,2023-03-03 15:07:12.000000,4.6,5.6,6.7,"견과류, 묵직한, 스모크, 견과류, 고소한, 망고, 바나나, 파인애플, 허브",N,6.1,1,3,2,2,1,3,5,3,51,풍부하고 진한 입감을 즐기는 타입,3.3,72
73,2023-03-03 15:50:24.000000,2023-03-03 15:50:24.000000,2.9,5.6,4.9,"카라멜, 고소한, 풍부한, 견과류, 고소한, 사과, 배, 허브",N,7.5,1,2,1,1,1,3,1,3,14,향미에 가치를 두는 타입,3.2,73
74,2023-03-03 16:33:36.000000,2023-03-03 16:33:36.000000,4.0,3.8,4.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 허브",N,8.2,1,2,3,1,2,1,2,3,13,향미에 가치를 두는 타입,5.1,74
75,2023-03-03 17:16:48.000000,2023-03-03 17:16:48.000000,5.7,4.2,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 시트러스",N,7.8,2,4,2,1,1,1,3,2,12,향미에 가치를 두는 타입,3.5,75
76,2023-03-03 18:00:00.000000,2023-03-03 18:00:00.000000,3.6,5.3,7.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,5.1,1,2,1,5,1,2,4,1,54,풍부하고 진한 입감을 즐기는 타입,3.5,76
77,2023-03-03 18:43:12.000000,2023-03-03 18:43:12.000000,2.4,4.7,5.1,"카라멜, 고소한, 풍부한, 초코, 부드러운, 베리, 커런트, 우디",N,6.0,2,2,1,1,3,2,3,1,15,향미에 가치를 두는 타입,4.7,77
78,2023-03-03 19:26:24.000000,2023-03-03 19:26:24.000000,5.3,3.9,6.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,5.7,2,3,2,5,1,2,4,2,51,풍부하고 진한 입감을 즐기는 타입,3.8,78
79,2023-03-03 20:09:36.000000,2023-03-03 20:09:36.000000,2.4,4.9,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.7,1,2,1,3,1,2,2,1,31,달콤하고 즐거운 맛을 즐기는 타입,6.0,79
80,2023-03-03 20:52:48.000000,2023-03-03 20:52:48.000000,1.9,2.4,5.8,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 허니",N,5.0,1,2,1,5,3,2,1,5,35,달콤하고 즐거운 맛을 즐기는 타입,6.4,80
81,2023-03-03 21:36:00.000000,2023-03-03 21:36:00.000000,2.4,4.9,6.9,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,5.7,1,3,1,5,1,2,2,1,51,풍부하고 진한 입감을 즐기는 타입,4.3,81
82,2023-03-03 22:19:12.000000,2023-03-03 22:19:12.000000,3.3,2.5,3.2,"카라멜, 고소한, 풍부한, 과일, 풍부한, 사과, 배, 플로럴",N,6.2,1,3,1,3,3,1,1,4,13,향미에 가치를 두는 타입,6.2,82
83,2023-03-03 23:02:24.000000,2023-03-03 23:02:24.000000,4.4,6.0,3.9,"카라멜, 고소한, 풍부한, 과일, 풍부한, 베리, 커런트, 허브",N,7.9,1,2,1,1,1,1,3,3,14,향미에 가치를 두는 타입,3.6,83
84,2023-03-03 23:45:36.000000,2023-03-03 23:45:36.000000,4.6,5.7,4.4,"견과류, 묵직한, 스모크, 과일, 풍부한, 베리, 커런트, 허브",N,8.1,2,2,2,1,1,1,3,3,14,향미에 가치를 두는 타입,3.5,84
85,2023-03-04 00:28:48.000000,2023-03-04 00:28:48.000000,5.3,3.9,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 시트러스",N,7.4,2,4,2,1,1,2,4,2,12,향미에 가치를 두는 타입,3.8,85
86,2023-03-04 01:12:00.000000,2023-03-04 01:12:00.000000,2.9,5.0,4.9,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 허브",N,8.2,1,2,2,1,1,2,2,3,14,향미에 가치를 두는 타입,4.6,86
87,2023-03-04 01:55:12.000000,2023-03-04 01:55:12.000000,4.6,5.0,5.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 레몬, 오렌지, 귤, 우디",N,7.6,2,3,1,1,1,1,4,1,14,향미에 가치를 두는 타입,2.9,87
88,2023-03-04 02:38:24.000000,2023-03-04 02:38:24.000000,5.1,6.2,5.3,"견과류, 고소한, 중후한, 과일, 풍부한, 레몬, 오렌지, 귤, 우디",N,5.4,1,2,4,4,1,1,4,1,41,강하고 쓴 맛을 선호하는 타입,3.1,88
89,2023-03-04 03:21:36.000000,2023-03-04 03:21:36.000000,4.3,3.6,4.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 시트러스",N,6.9,2,3,1,1,1,2,1,2,15,향미에 가치를 두는 타입,4.3,89
90,2023-03-04 04:04:48.000000,2023-03-04 04:04:48.000000,6.4,2.6,3.8,"견과류, 묵직한, 스모크, 과일, 풍부한, 레몬, 오렌지, 귤, 플로럴",N,6.8,1,3,2,2,4,1,4,4,12,향미에 가치를 두는 타입,3.8,90
91,2023-03-04 04:48:00.000000,2023-03-04 04:48:00.000000,3.1,4.3,5.3,"견과류, 묵직한, 스모크, 초코, 부드러운, 베리, 커런트, 허니",N,7.1,2,3,2,1,1,2,3,5,15,향미에 가치를 두는 타입,5.1,91
92,2023-03-04 05:31:12.000000,2023-03-04 05:31:12.000000,3.1,5.4,7.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 망고, 바나나, 파인애플, 허브",N,5.7,2,2,1,5,1,2,5,3,51,풍부하고 진한 입감을 즐기는 타입,4.6,92
93,2023-03-04 06:14:24.000000,2023-03-04 06:14:24.000000,2.4,4.9,5.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 체리, 복숭아, 우디",N,7.4,2,2,1,1,1,2,2,1,15,향미에 가치를 두는 타입,4.3,93
94,2023-03-04 06:57:36.000000,2023-03-04 06:57:36.000000,3.1,3.9,4.3,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 플로럴",N,7.5,1,3,1,1,1,2,1,4,15,향미에 가치를 두는 타입,4.2,94
95,2023-03-04 07:40:48.000000,2023-03-04 07:40:48.000000,3.3,2.5,3.2,"카라멜, 고소한, 풍부한, 과일, 풍부한, 사과, 배, 플로럴",N,6.2,1,2,1,3,3,1,1,4,13,향미에 가치를 두는 타입,6.2,95
96,2023-03-04 08:24:00.000000,2023-03-04 08:24:00.000000,4.2,4.6,5.8,"견과류, 묵직한, 스모크, 초코, 부드러운, 체리, 복숭아, 우디",N,5.8,2,2,2,2,1,2,2,1,15,향미에 가치를 두는 타입,4.2,96
97,2023-03-04 09:07:12.000000,2023-03-04 09:07:12.000000,4.3,3.6,4.4,"카라멜, 고소한, 풍부한, 초코, 부드러운, 사과, 배, 시트러스",N,6.9,1,2,1,1,1,2,1,2,15,향미에 가치를 두는 타입,4.3,97
98,2023-03-04 09:50:24.000000,2023-03-04 09:50:24.000000,3.6,4.7,6.0,"카라멜, 고소한, 풍부한, 과일, 풍부한, 망고, 바나나, 파인애플, 우디",N,7.5,2,4,1,1,1,1,5,1,15,향미에 가치를 두는 타입,3.6,98
99,2023-03-04 10:33:36.000000,2023-03-04 10:33:36.000000,3.6,3.3,5.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 우디",N,5.8,2,3,3,3,2,1,2,1,31,달콤하고 즐거운 맛을 즐기는 타입,6.4,99
100,2023-03-04 11:16:48.000000,2023-03-04 11:16:48.000000,3.8,5.0,6.2,"견과류, 묵직한, 스모크, 초코, 부드러운, 레몬, 오렌지, 귤, 우디",N,6.9,1,2,2,1,1,2,4,1,15,향미에 가치를 두는 타입,3.3,100
101,2023-03-04 12:00:00.000000,2023-03-04 12:00:00.000000,4.0,3.8,4.0,"과일, 초코, 균형있는, 과일, 풍부한, 체리, 복숭아, 허브",N,8.2,1,2,3,1,2,1,2,3,13,향미에 가치를 두는 타입,5.1,101
