id,imdb_id,genres,original_language,original_title,overview,popularity,title,vote_average,vote_count,weighted_rating
755,tt0116367,"Horror, Action, Thriller, Crime",en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,From Dusk Till Dawn,6.9,1644.0,6.857184916606236
197,tt0112573,"Action, Drama, History, War",en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,Braveheart,7.7,3404.0,7.476608233731739
103,tt0075314,"Crime, Drama",en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,Taxi Driver,8.1,2632.0,7.711616657768285
9737,tt0112442,"Action, Comedy, Crime, Thriller",en,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",9.262184,Bad Boys,6.5,1729.0,6.615200844178684
568,tt0112384,Drama,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,Apollo 13,7.3,1637.0,7.0950985096328605
414,tt0112462,"Action, Crime, Fantasy",en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,Batman Forever,5.2,1529.0,5.871856223987892
1572,tt0112864,"Action, Thriller",en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,Die Hard: With a Vengeance,6.9,2094.0,6.8631907730673305
8467,tt0109686,Comedy,en,Dumb and Dumber,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",9.844558,Dumb and Dumber,6.5,1894.0,6.608881648936171
628,tt0110148,"Horror, Romance",en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,Interview with the Vampire,7.2,1558.0,7.0307320359281436
11,tt0076759,"Adventure, Action, Science Fiction",en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,Star Wars,8.1,6778.0,7.915650785605676
101,tt0110413,"Thriller, Crime, Drama",fr,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,Leon: The Professional,8.2,4293.0,7.91032291474015
680,tt0110912,"Thriller, Crime",en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,Pulp Fiction,8.3,8670.0,8.128527800490598
278,tt0111161,"Drama, Crime",en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,The Shawshank Redemption,8.5,8358.0,8.299357685810811
3049,tt0109040,"Comedy, Mystery",en,Ace Ventura: Pet Detective,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man . . . or beast!",11.247957,Ace Ventura: Pet Detective,6.4,1684.0,6.556867762687634
13,tt0109830,"Comedy, Drama, Romance",en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,Forrest Gump,8.2,8147.0,8.030873123852714
8587,tt0110357,"Family, Animation, Drama",en,The Lion King,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,21.605761,The Lion King,8.0,5520.0,7.797485076876695
854,tt0110475,"Romance, Comedy, Crime, Fantasy",en,The Mask,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",14.13488,The Mask,6.6,2550.0,6.658983624454148
1637,tt0111257,"Action, Adventure, Crime",en,Speed,"Los Angeles SWAT cop Jack Traven is up against bomb expert Howard Payne, who's after major ransom money. First it's a rigged elevator in a very tall building. Then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in LA traffic. And that's still not the end.",10.859292,Speed,6.8,1814.0,6.797717213114754
36955,tt0111503,"Action, Thriller",en,True Lies,"Harry Tasker is a secret agent for the United States Government. For years, he has kept his job from his wife, but is forced to reveal his identity and try to stop nuclear terrorists when he and his wife are kidnapped by them.",11.396099,True Lies,6.8,1138.0,6.797031971580816
5503,tt0106977,"Adventure, Action, Thriller, Crime, Mystery",en,The Fugitive,"Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",10.08937,The Fugitive,7.2,1240.0,7.007865760407816
329,tt0107290,"Adventure, Science Fiction",en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,Jurassic Park,7.6,4956.0,7.4520784184514
788,tt0107614,"Comedy, Drama, Family",en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,Mrs. Doubtfire,7.0,1638.0,6.9166119186046515
424,tt0108052,"Drama, History, War",en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,Schindler's List,8.3,4436.0,7.997714594594596
78,tt0083658,"Science Fiction, Drama, Thriller",en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,Blade Runner,7.9,3833.0,7.650943197897716
9479,tt0107688,"Fantasy, Animation, Family",en,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",17.730913,The Nightmare Before Christmas,7.6,2135.0,7.323642967066789
771,tt0099785,"Comedy, Family",en,Home Alone,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",0.702543,Home Alone,7.1,2487.0,7.005336295473478
251,tt0099653,"Fantasy, Drama, Thriller, Mystery, Romance",en,Ghost,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",11.945397,Ghost,6.9,1381.0,6.852671743486974
812,tt0103639,"Animation, Family, Comedy, Adventure, Fantasy, Romance",en,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,Aladdin,7.4,3495.0,7.253529182035149
280,tt0103064,"Action, Thriller, Science Fiction",en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,Terminator 2: Judgment Day,7.7,4274.0,7.512679287305122
268,tt0096895,"Fantasy, Action",en,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",19.10673,Batman,7.0,2145.0,6.929584535133476
274,tt0102926,"Crime, Drama, Thriller",en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,The Silence of the Lambs,8.1,4549.0,7.843089528518453
408,tt0029583,"Fantasy, Animation, Family",en,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",16.263878,Snow White and the Seven Dwarfs,6.9,1973.0,6.861747975380629
10020,tt0101414,"Romance, Family, Animation, Fantasy, Music",en,Beauty and the Beast,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",23.433511,Beauty and the Beast,7.5,3029.0,7.310165580497224
10895,tt0032910,"Animation, Family",en,Pinocchio,"Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove he's worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket. From Stromboli's circus to Pleasure Island, Pinocchio is tested by many temptations, but slowly learns how to navigate right from wrong. With a few mishaps along the way, Geppetto's ""little woodenhead"" finally gets it right, proving that when you wish upon a star dreams really can come true!",14.202284,Pinocchio,6.9,1412.0,6.853252573238322
114,tt0100405,"Romance, Comedy",en,Pretty Woman,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",13.348451,Pretty Woman,7.0,1807.0,6.92143649435125
275,tt0116282,"Crime, Drama, Thriller",en,Fargo,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",12.61469,Fargo,7.7,2080.0,7.3840062617407645
10112,tt0065421,"Animation, Comedy, Family, Adventure",en,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children -- Bonfamille's prize family of domesticated house cats -- the butler plots to steal the money and kidnaps the heirs, leaving them out on a country road. All seems lost until the wily Thomas O'Malley Cat and his jazz-playing alley cats come to the Aristocats's rescue.",9.834047,The Aristocats,7.1,1287.0,6.958024156601416
954,tt0117060,"Adventure, Action, Thriller",en,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",15.793477,Mission: Impossible,6.7,2677.0,6.7276222632550775
2300,tt0117705,"Animation, Comedy, Drama, Family, Fantasy",en,Space Jam,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",11.054251,Space Jam,6.5,1335.0,6.63373458554512
9802,tt0117500,"Action, Adventure, Thriller",en,The Rock,"A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops – or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area.",13.249824,The Rock,6.9,1474.0,6.854372488408037
935,tt0057012,"Drama, Comedy, War",en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",9.80398,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1472.0,7.480477958236659
627,tt0117951,"Drama, Crime",en,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",19.348466,Trainspotting,7.8,2737.0,7.508988834069072
602,tt0116629,"Action, Adventure, Science Fiction",en,Independence Day,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",17.634197,Independence Day,6.7,3334.0,6.723542266187049
10545,tt0116583,"Drama, Animation, Family",en,The Hunchback of Notre Dame,"When Quasi defies the evil Frollo and ventures out to the Festival of Fools, the cruel crowd jeers him. Rescued by fellow outcast the gypsy Esmeralda, Quasi soon finds himself battling to save the people and the city he loves.",13.553999,The Hunchback of Notre Dame,6.8,1182.0,6.797088850174216
238,tt0068646,"Drama, Crime",en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",41.109264,The Godfather,8.5,6024.0,8.23375119080975
426,tt0052357,"Mystery, Romance, Thriller",en,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",18.20822,Vertigo,8.0,1162.0,7.40971704745167
567,tt0047396,"Drama, Mystery, Thriller",en,Rear Window,"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",17.911314,Rear Window,8.2,1531.0,7.607832136105861
289,tt0034583,"Drama, Romance",en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",13.916101,Casablanca,7.9,1462.0,7.4217065217391305
630,tt0032138,"Adventure, Family, Fantasy",en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",22.064932,The Wizard of Oz,7.4,1689.0,7.159156617909382
15,tt0033467,"Mystery, Drama",en,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",15.811921,Citizen Kane,8.0,1244.0,7.43024427480916
62,tt0062622,"Science Fiction, Mystery, Adventure",en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",22.494622,2001: A Space Odyssey,7.9,3075.0,7.605876342802578
11224,tt0042332,"Family, Fantasy, Animation, Romance",en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",14.436858,Cinderella,6.8,1760.0,6.797674321503131
433,tt0058331,"Comedy, Family, Fantasy",en,Mary Poppins,"The movie combines a diverting story, songs, color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again.",15.11549,Mary Poppins,7.4,1217.0,7.110388674388675
11360,tt0033563,"Animation, Family",en,Dumbo,Dumbo is a baby elephant born with oversized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy -- Timothy the Mouse -- the pint-sized pachyderm learns to surmount all obstacles.,14.655879,Dumbo,6.8,1206.0,6.797118965517241
12092,tt0043274,"Animation, Adventure, Family, Fantasy",en,Alice in Wonderland,"On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!",16.488937,Alice in Wonderland,7.0,1557.0,6.914083114938225
562,tt0095016,"Action, Thriller",en,Die Hard,"NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",16.640522,Die Hard,7.5,4005.0,7.34635983590545
454,tt0117509,"Drama, Romance",en,Romeo + Juliet,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",11.774061,Romeo + Juliet,6.7,1406.0,6.741553968253968
583,tt0079470,Comedy,en,Life of Brian,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",10.714173,Life of Brian,7.7,1230.0,7.269418088737201
88,tt0092890,"Drama, Music, Romance",en,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer – and unexpectedly falling in love.",14.044122,Dirty Dancing,7.1,1371.0,6.9628233400402415
500,tt0105236,"Crime, Thriller",en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",12.22034,Reservoir Dogs,8.1,3821.0,7.805190678824721
792,tt0091763,"Drama, War, Action",en,Platoon,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",18.206972,Platoon,7.5,1236.0,7.165325957446809
601,tt0083866,"Science Fiction, Adventure, Family, Fantasy",en,E.T. the Extra-Terrestrial,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",19.358546,E.T. the Extra-Terrestrial,7.3,3359.0,7.173980773530069
744,tt0092099,"Action, Romance, War",en,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and Co-Pilot Nick 'Goose' Bradshaw being accepted into an elite training school for fighter pilots is a dream come true.  A tragedy, as well as personal demons, threaten Pete's dreams of becoming an Ace pilot.",20.301019,Top Gun,6.7,1736.0,6.736742456140351
762,tt0071853,"Adventure, Comedy, Fantasy",en,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",10.43389,Monty Python and the Holy Grail,7.8,1742.0,7.407603641456582
510,tt0073486,Drama,en,One Flew Over the Cuckoo's Nest,"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched.",35.529554,One Flew Over the Cuckoo's Nest,8.3,3001.0,7.8923003645200485
1891,tt0080684,"Adventure, Action, Science Fiction",en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",19.470959,The Empire Strikes Back,8.2,5998.0,7.979768841394825
2493,tt0093779,"Adventure, Family, Fantasy, Comedy, Romance",en,The Princess Bride,"In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",15.15267,The Princess Bride,7.6,1518.0,7.2588586626139815
85,tt0082971,"Adventure, Action",en,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",19.901576,Raiders of the Lost Ark,7.7,3949.0,7.50065494765949
679,tt0090605,"Horror, Action, Thriller, Science Fiction",en,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story, all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",21.761179,Aliens,7.7,3282.0,7.47040855323021
